집계년도,시군명,전체기관명,대표전화번호,관할구역명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2026,수원시,경기도 수원소방서,031-8012-9214,"수원시 장안구, 영통구 일원",16335,경기도 수원시 장안구 정자동 873-5번지,경기도 수원시 장안구 정자천로189번길 12,37.2972036000,126.9959882000
2026,수원시,경기도 수원남부소방서,031-639-8214,"수원시 권선구, 팔달구 일원",16550,경기도 수원시 권선구 권선동 1237번지,경기도 수원시 권선구 동수원로 286,37.2547329000,127.0364047000
2026,시흥시,경기도 시흥소방서,031-310-0214,시흥시 일원,15055,경기도 시흥시 정왕동 1800-1번지,경기도 시흥시 정왕신길로 206,37.3495555000,126.7395431000
2026,안산시,경기도 안산소방서,031-470-7214,안산시 일원,15335,경기도 안산시 단원구 고잔동 515-1번지,경기도 안산시 단원구 화랑로 407,37.3217348000,126.8329595000
2026,안성시,경기도 안성소방서,031-676-0119,안성시 일원,17595,경기도 안성시 도기동 544-174번지,경기도 안성시 미양로 855,37.0006739000,127.2557077000
2026,안양시,경기도 안양소방서,031-470-0214,안양시 일원,14054,경기도 안양시 동안구 관양동 1592-1번지,경기도 안양시 동안구 관평로212번길 32,37.3959837000,126.9607565000
2026,양주시,경기도 양주소방서,031-849-8119,양주시 일원,11504,경기도 양주시 백석읍 오산리 513-1번지,경기도 양주시 백석읍 꿈나무로 156,37.7958203000,126.9893940000
2026,양평군,경기도 양평소방서,031-770-0213,양평군 일원,12547,경기도 양평군 양평읍 공흥리 159-1번지,경기도 양평군 양평읍 경강로 2047,37.5003303000,127.5073425000
2026,여주시,경기도 여주소방서,031-887-7210,여주시 일원,12625,경기도 여주시 월송동 42번지,경기도 여주시 우암로 110,37.2916747000,127.6258193000
2026,연천군,경기도 연천소방서,031-830-0214,연천군 일원,11025,경기도 연천군 전곡읍 은대리 422-4번지,경기도 연천군 전곡읍 평화로 892,38.0483373000,127.0685656000
2026,오산시,경기도 오산소방서,031-8059-7214,오산시 일원,18110,경기도 오산시 내삼미동 880번지,경기도 오산시 문헌공로 30,37.1753050000,127.0537876000
2026,용인시,경기도 용인소방서,031-8021-0214,용인시 일원,17057,경기도 용인시 처인구 역북동 586-7번지,경기도 용인시 처인구 명지로 45,37.2321585000,127.1898933000
2026,용인시,경기도 용인서부소방서,031-6190-3214,용인시 일원,16966,경기도 용인시 기흥구 신갈동 388-154번지,경기도 용인시 기흥구 용구대로2145번길 15,37.2802911000,127.1047430000
2026,의왕시,경기도 의왕소방서,031-596-0214,의왕시 일원,16077,경기도 의왕시 고천동 78-3번지,경기도 의왕시 오봉로 9,37.3442084000,126.9747313000
2026,의정부시,경기도 의정부소방서,031-849-7216,의정부시 일원,11763,경기도 의정부시 금오동 484번지,경기도 의정부시 금오로23번길 22-40,37.7551403000,127.0697857000
2026,이천시,경기도 이천소방서,031-645-5213,이천시 일원,17379,경기도 이천시 관고동 218-2번지,경기도 이천시 경충대로 2739,37.2820678000,127.4315708000
2026,파주시,경기도 파주소방서,031-956-9213,파주시 일원,10836,경기도 파주시 파주읍 봉서리 458-10번지,경기도 파주시 파주읍 통일로 1564,37.8474835000,126.7895156000
2026,평택시,경기도 송탄소방서,031-685-8114,평택시 신장동 등,17754,경기도 평택시 신장동 505-2번지,경기도 평택시 경기대로 1627,37.0896657000,127.0621667000
2026,평택시,경기도 평택소방서,031-8053-6102,평택시 비전동 등,17901,경기도 평택시 비전동 849-1번지,경기도 평택시 중앙로 273,36.9904591000,127.1128327000
2026,포천시,경기도 포천소방서,031-538-5213,포천시 일원,11154,경기도 포천시 군내면 구읍리 669번지,경기도 포천시 군내면 호국로 1538,37.8913513000,127.2026163000
2026,하남시,경기도 하남소방서,031-799-4119,하남시 일원,12953,경기도 하남시 신장동 528-1번지,경기도 하남시 대청로 76,37.5399030000,127.2204310000
2026,화성시,경기도 화성소방서,031-8012-6119,화성시 일원,18598,경기도 화성시 향남읍 행정리 436-6번지,경기도 화성시 만세구 향남읍 향남로 399,37.1309380000,126.9205599000

